Cell,CNAclone
Clone2Cell1,2
Clone2Cell2,2
Clone2Cell3,2
Clone2Cell4,2
Clone2Cell5,2
Clone2Cell6,2
Clone2Cell7,2
Clone2Cell8,2
Clone2Cell9,2
Clone2Cell10,2
Clone2Cell11,2
Clone2Cell12,2
Clone2Cell13,2
Clone2Cell14,2
Clone2Cell15,2
Clone2Cell16,2
Clone2Cell17,2
Clone2Cell18,2
Clone2Cell19,2
Clone2Cell20,2
Clone2Cell21,2
Clone2Cell22,2
Clone2Cell23,2
Clone2Cell24,2
Clone2Cell25,2
Clone2Cell26,2
Clone2Cell27,2
Clone2Cell28,2
Clone2Cell29,2
Clone2Cell30,2
Clone2Cell31,2
Clone2Cell32,2
Clone2Cell33,2
Clone2Cell34,2
Clone2Cell35,2
Clone2Cell36,2
Clone2Cell37,2
Clone2Cell38,2
Clone2Cell39,2
Clone2Cell40,2
Clone2Cell41,2
Clone2Cell42,2
Clone2Cell43,2
Clone2Cell44,2
Clone2Cell45,2
Clone2Cell46,2
Clone2Cell47,2
Clone2Cell48,2
Clone2Cell49,2
Clone2Cell50,2
Clone2Cell51,2
Clone2Cell52,2
Clone2Cell53,2
Clone2Cell54,2
Clone2Cell55,2
Clone2Cell56,2
Clone2Cell57,2
Clone2Cell58,2
Clone2Cell59,2
Clone2Cell60,2
Clone2Cell61,2
Clone2Cell62,2
Clone2Cell63,2
Clone2Cell64,2
Clone2Cell65,2
Clone2Cell66,2
Clone2Cell67,2
Clone2Cell68,2
Clone2Cell69,2
Clone2Cell70,2
Clone2Cell71,2
Clone2Cell72,2
Clone2Cell73,2
Clone2Cell74,2
Clone2Cell75,2
Clone2Cell76,2
Clone2Cell77,2
Clone2Cell78,2
Clone2Cell79,2
Clone2Cell80,2
Clone2Cell81,2
Clone2Cell82,2
Clone2Cell83,2
Clone2Cell84,2
Clone2Cell85,2
Clone2Cell86,2
Clone2Cell87,2
Clone2Cell88,2
Clone2Cell89,2
Clone2Cell90,2
Clone2Cell91,2
Clone2Cell92,2
Clone2Cell93,2
Clone2Cell94,2
Clone2Cell95,2
Clone2Cell96,2
Clone2Cell97,2
Clone2Cell98,2
Clone2Cell99,2
Clone2Cell100,2
Clone2Cell101,2
Clone2Cell102,2
Clone2Cell103,2
Clone2Cell104,2
Clone2Cell105,2
Clone2Cell106,2
Clone2Cell107,2
Clone2Cell108,2
Clone2Cell109,2
Clone2Cell110,2
Clone2Cell111,2
Clone2Cell112,2
Clone2Cell113,2
Clone2Cell114,2
Clone2Cell115,2
Clone2Cell116,2
Clone2Cell117,2
Clone2Cell118,2
Clone2Cell119,2
Clone2Cell120,2
Clone2Cell121,2
Clone2Cell122,2
Clone2Cell123,2
Clone2Cell124,2
Clone2Cell125,2
Clone2Cell126,2
Clone2Cell127,2
Clone2Cell128,2
Clone2Cell129,2
Clone2Cell130,2
Clone2Cell131,2
Clone2Cell132,2
Clone2Cell133,2
Clone2Cell134,2
Clone2Cell135,2
Clone2Cell136,2
Clone2Cell137,2
Clone2Cell138,2
Clone2Cell139,2
Clone2Cell140,2
Clone2Cell141,2
Clone2Cell142,2
Clone2Cell143,2
Clone2Cell144,2
Clone2Cell145,2
Clone2Cell146,2
Clone2Cell147,2
Clone2Cell148,2
Clone2Cell149,2
Clone2Cell150,2
Clone2Cell151,2
Clone2Cell152,2
Clone2Cell153,2
Clone2Cell154,2
Clone2Cell155,2
Clone2Cell156,2
Clone2Cell157,2
Clone2Cell158,2
Clone2Cell159,2
Clone2Cell160,2
Clone2Cell161,2
Clone2Cell162,2
Clone2Cell163,2
Clone2Cell164,2
Clone2Cell165,2
Clone2Cell166,2
Clone2Cell167,2
Clone2Cell168,2
Clone2Cell169,2
Clone2Cell170,2
Clone2Cell171,2
Clone2Cell172,2
Clone2Cell173,2
Clone2Cell174,2
Clone2Cell175,2
Clone2Cell176,2
Clone2Cell177,2
Clone2Cell178,2
Clone2Cell179,2
Clone2Cell180,2
Clone2Cell181,2
Clone2Cell182,2
Clone2Cell183,2
Clone2Cell184,2
Clone2Cell185,2
Clone2Cell186,2
Clone2Cell187,2
Clone2Cell188,2
Clone2Cell189,2
Clone2Cell190,2
Clone2Cell191,2
Clone2Cell192,2
